Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"C1, C3",1206,2,4.7µF,
C2,1206,1,1µF,
C21,0805,1,10uF,
C22,1206,1,10uF,
C23,0603,1,100nF,
C24,0805,1,22uF,
C25,1206,1,22uF,
"C4, C5, C8, C9",0603,4,10nF,
C6,CP_Radial_D10.0mm_P5.00mm,1,C_Polarized,
C7,0805,1,10µF,
D1,1206,1,25V,
D4,0805,1,LED_Small,
F1,Fuse_Littelfuse-NANO2-451_453,1,Fuse,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J3, J6",Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,2,Conn_02x04_Top_Bottom,
"J4, J5","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",2,Conn_01x02_Socket,
L2,INDPM6965X300N,1,IHLP2525CZER3R3M11,
R1,0603,1,22kR,
R2,0603,1,DNP,
"R3, R5",0603,2,1kR,
R34,0603,1,56.2k,
"R35, R36",0603,2,10k,
R4,0603,1,220R,
R6,0603,1,0R,
U1,MODULE_NUCLEO-G431KB,1,NUCLEO-G431KB,
U10,SOT-23-6,1,TPS563200,
"U2, U6",TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical,2,LMD18200,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U5,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
