Designator,Mid X,Mid Y,Rotation,Layer
,123.8,-104.0,0.0,top
C1,87.94,-103.235,180.0,bottom
C2,104.0,-100.325,270.0,bottom
C21,117.275,-95.1125,270.0,bottom
C22,115.075,-94.475,270.0,bottom
C23,120.9,-97.65,180.0,bottom
C24,116.1375,-97.85,180.0,bottom
C25,116.4,-100.2,180.0,bottom
C3,104.6,-95.275,90.0,bottom
C4,80.0,-71.225,270.0,bottom
C5,98.0,-70.775,90.0,bottom
C6,103.8,-80.867677,90.0,top
C7,101.8,-80.35,90.0,bottom
C8,104.0,-71.0,270.0,bottom
C9,121.0,-71.0,90.0,bottom
D1,110.2,-78.2,90.0,bottom
D4,123.7375,-87.2,180.0,top
F1,107.0,-81.345,270.0,bottom
J1,79.2,-81.59,180.0,top
J2,124.8,-69.67,180.0,top
J3,117.7,-80.85,0.0,top
J4,88.545,-61.7325,180.0,top
J5,112.345,-61.7325,180.0,top
J6,89.9,-80.45,0.0,top
L2,110.2,-97.75,270.0,bottom
R1,91.715,-99.46,90.0,bottom
R3,91.175,-71.6,180.0,bottom
R34,120.9,-99.25,0.0,bottom
R35,124.3,-96.45,180.0,bottom
R36,120.5,-92.45,180.0,bottom
R4,123.375,-90.6,0.0,bottom
R5,115.175,-71.0,180.0,bottom
R6,90.575,-92.4,180.0,bottom
U1,101.58,-98.02,90.0,top
U10,120.5375,-95.05,0.0,bottom
U2,88.75,-71.74,0.0,top
U4,87.765,-98.275,0.0,bottom
U5,98.19,-95.925,180.0,bottom
U6,112.5,-71.74,0.0,top
